id,name,launch_date,cores,threads,bus_speed,base_frequency,turbo_frequency,cache_size,max_memory_size,max_temp
749,Intel Xeon E-2244G,5/1/2019,4,8,8,3800,4800,8192,134217728,100
750,Intel Xeon E-2274G,5/1/2019,4,8,8,4000,4900,8192,134217728,100
751,Intel Xeon E-2276M,5/1/2019,6,12,8,2800,4700,12288,134217728,100
752,Intel Xeon E-2286M,5/1/2019,8,16,8,2400,5000,16384,134217728,100
753,Intel Xeon E-2246G,5/1/2019,6,12,8,3600,4800,12288,134217728,100
754,Intel Xeon E-2278GE,5/1/2019,8,16,8,3300,4700,16384,134217728,
755,Intel Xeon D-1649N,5/1/2019,8,16,,2300,3000,12288,134217728,105
756,Intel Xeon D-1637,5/1/2019,6,12,,2900,3200,9216,134217728,105
757,Intel Xeon D-1633N,5/1/2019,6,12,,2500,3200,9216,134217728,105
758,Intel Xeon D-1632,5/1/2019,8,16,,1500,2500,12288,134217728,105
759,Intel Xeon D-1653N,5/1/2019,8,16,,2800,3200,12288,134217728,105
760,Intel Xeon D-1612,5/1/2019,4,8,,1500,2500,6144,134217728,105
761,Intel Xeon D-1602,5/1/2019,2,4,,2500,3200,3072,134217728,105
762,Intel Xeon D-1622,5/1/2019,4,8,,2600,3200,6144,134217728,105
763,Intel Xeon D-1623N,5/1/2019,4,8,,2400,3200,6144,134217728,105
764,Intel Xeon D-1627,5/1/2019,4,8,,2900,3200,6144,134217728,105
765,Intel Celeron J3455E,8/1/2019,4,4,,1500,2300,2048,8388608,105
766,Intel Celeron J3355E,8/1/2019,2,2,,2000,2500,2048,8388608,105
767,Intel Celeron N3350E,8/1/2019,2,2,,1100,2400,2048,8388608,105
768,Intel Core i5-8257U,8/1/2019,4,8,4,1400,3900,6144,33554432,100
769,Intel Xeon Platinum 9221,8/1/2019,32,64,,2300,3700,73216,,
770,Intel Xeon Platinum 9222,8/1/2019,32,64,,2300,3700,73216,,
771,Intel Core i7-8557U,8/1/2019,4,8,4,1700,4500,8192,33554432,100
772,Intel Core i7-1060G7,8/1/2019,4,8,4,1000,3800,8192,33554432,100
773,Intel Core i5-1035G1,8/1/2019,4,8,4,1000,3600,6144,67108864,100
774,Intel Core i5-1035G7,8/1/2019,4,8,4,1200,3700,6144,67108864,100
775,Intel Core i5-1035G4,8/1/2019,4,8,4,1100,3700,6144,67108864,100
776,Intel Core i5-1030G7,8/1/2019,4,8,4,800,3500,6144,33554432,100
777,Intel Core i5-1030G4,8/1/2019,4,8,4,700,3500,6144,33554432,100
778,Intel Core i5-10210Y,8/1/2019,4,8,4,1000,4000,6144,16777216,100
779,Intel Core i5-10310Y,8/1/2019,4,8,4,1100,4100,6144,16777216,100
780,Intel Core i5-10210U,8/1/2019,4,8,4,1600,4200,6144,67108864,100
781,Intel Core i7-1065G7,8/1/2019,4,8,4,1300,3900,8192,67108864,100
782,Intel Core i7-10710U,8/1/2019,6,12,4,1100,4700,12288,67108864,100
783,Intel Core i7-10510Y,8/1/2019,4,8,4,1200,4500,8192,16777216,100
784,Intel Core i7-10510U,8/1/2019,4,8,4,1800,4900,8192,67108864,100
785,Intel Core i3-1000G4,8/1/2019,2,4,4,1100,3200,4096,33554432,100
786,Intel Core i3-1000G1,8/1/2019,2,4,4,1100,3200,4096,33554432,100
787,Intel Core i3-1005G1,8/1/2019,2,4,4,1200,3400,4096,67108864,100
788,Intel Core i3-10110Y,8/1/2019,2,4,4,1000,4000,4096,16777216,100
789,Intel Core i3-10110U,8/1/2019,2,4,4,2100,4100,4096,67108864,100
790,Intel Celeron J4125,11/1/2019,4,4,,2000,,4096,8388608,105
791,Intel Celeron J4025,11/1/2019,2,2,,2000,,4096,8388608,105
792,Intel Celeron N4120,11/1/2019,4,4,,1100,,4096,8388608,105
793,Intel Celeron N4020,11/1/2019,2,2,,1100,,4096,8388608,105
794,Intel Pentium Silver N5030,11/1/2019,4,4,,1100,,4096,8388608,105
795,Intel Pentium Silver J5040,11/1/2019,4,4,,2000,,4096,8388608,105
796,Intel Pentium Gold 6405U,11/1/2019,2,4,4,2400,,2048,67108864,100
797,Intel Core i9-9900KS,11/1/2019,8,16,8,4000,5000,16384,134217728,100
798,Intel Core i3-8140U,11/1/2019,2,4,4,2100,3900,4096,67108864,100
799,Intel Core i9-10920X,11/1/2019,12,24,8,3500,4600,19712,268435456,94
800,Intel Core i9-10940X,11/1/2019,14,28,8,3300,4600,19712,268435456,86
801,Intel Core i9-10980XE,11/1/2019,18,36,8,3000,4600,25344,268435456,86
802,Intel Core i9-10900X,11/1/2019,10,20,8,3700,4500,19712,268435456,94
803,Intel Xeon W-2275,11/1/2019,14,28,8,3300,4600,19712,1073741824,62
804,Intel Xeon W-2295,11/1/2019,18,36,8,3000,4600,25344,1073741824,61
805,Intel Xeon W-2265,11/1/2019,12,24,8,3500,4600,19712,1073741824,61
806,Intel Xeon W-2255,11/1/2019,10,20,8,3700,4500,19712,1073741824,62
807,Intel Xeon W-2223,11/1/2019,4,8,8,3600,3900,8448,1073741824,64
808,Intel Xeon W-2235,11/1/2019,6,12,8,3800,4600,8448,1073741824,64
809,Intel Xeon W-2245,11/1/2019,8,16,8,3900,4500,16896,1073741824,59
810,Intel Xeon W-2225,11/1/2019,4,8,8,4100,4600,8448,1073741824,61
811,Intel Xeon Gold 6250L,2/1/2020,8,16,,3900,4500,36608,4831838208,60
812,Intel Xeon Gold 5220R,2/1/2020,24,48,,2200,4000,36608,1073741824,86
813,Intel Xeon Gold 6208U,2/1/2020,16,32,,2900,3900,22528,1073741824,85
814,Intel Xeon Gold 6242R,2/1/2020,20,40,,3100,4100,36608,1073741824,76
815,Intel Xeon Gold 6248R,2/1/2020,24,48,,3000,4000,36608,1073741824,75
816,Intel Xeon Gold 6258R,2/1/2020,28,56,,2700,4000,39424,1073741824,74
817,Intel Xeon Gold 6226R,2/1/2020,16,32,,2900,3900,22528,1073741824,85
818,Intel Xeon Gold 6230R,2/1/2020,26,52,,2100,4000,36608,1073741824,85
819,Intel Xeon Gold 6238R,2/1/2020,28,56,,2200,4000,39424,1073741824,89
820,Intel Xeon Gold 6240R,2/1/2020,24,48,,2400,4000,36608,1073741824,90
821,Intel Xeon Gold 5218R,2/1/2020,20,40,,2100,4000,28160,1073741824,87
822,Intel Xeon Gold 6256,2/1/2020,12,24,,3600,4500,33792,1073741824,64
823,Intel Xeon Gold 6250,2/1/2020,8,16,,3900,4500,36608,1073741824,60
824,Intel Xeon Gold 6246R,2/1/2020,16,32,,3400,4100,36608,1073741824,75
825,Intel Atom P5942B,2/1/2020,16,16,,2200,,18432,134217728,85
826,Intel Atom P5921B,2/1/2020,8,8,,2200,,9216,67108864,85
827,Intel Atom P5962B,2/1/2020,24,24,,2200,,27648,134217728,85
828,Intel Atom P5931B,2/1/2020,12,12,,2200,,13824,134217728,85
829,Intel Xeon Silver 4214R,2/1/2020,12,24,,2400,3500,16896,1073741824,79
830,Intel Xeon Silver 4210T,2/1/2020,10,20,,2300,3200,14080,1073741824,91
831,Intel Xeon Silver 4215R,2/1/2020,8,16,,3200,4000,11264,1073741824,79
832,Intel Xeon Bronze 3206R,2/1/2020,8,8,,1900,1900,11264,1073741824,78
833,Intel Xeon Silver 4210R,2/1/2020,10,20,,2400,3200,14080,1073741824,84
834,Intel Xeon Gold 6328HL,5/1/2020,16,32,,2800,4300,22528,4831838208,
835,Intel Xeon Gold 5320H,5/1/2020,20,40,,2400,4200,28160,1202590843,
836,Intel Xeon Gold 6328H,5/1/2020,16,32,,2800,4300,22528,1202590843,
837,Intel Xeon Gold 5318H,5/1/2020,18,36,,2500,3800,25344,1202590843,
838,Intel Xeon Gold 6348H,5/1/2020,24,48,,2300,4200,33792,1202590843,
839,Intel Core i5-1030NG7,5/1/2020,4,8,4,1100,3500,6144,33554432,100
840,Intel Core i5-10400H,5/1/2020,4,8,8,2600,4600,8192,134217728,100
841,Intel Core i5-10300H,5/1/2020,4,8,8,2500,4500,8192,134217728,100
842,Intel Core i5-10500E,5/1/2020,6,12,8,3100,4200,12288,134217728,100
843,Intel Core i5-10500TE,5/1/2020,6,12,8,2300,3700,12288,134217728,100
844,Intel Xeon Platinum 8380H,5/1/2020,28,56,,2900,4300,39424,1202590843,
845,Intel Xeon Platinum 8353H,5/1/2020,18,36,,2500,3800,25344,1202590843,
846,Intel Xeon Platinum 8354H,5/1/2020,18,36,,3100,4300,25344,1202590843,
847,Intel Xeon Platinum 8376H,5/1/2020,28,56,,2600,4300,39424,1202590843,
